rent	adress	description
1800	Rua Rafael Sampaio, Guanabara	Ótimo apartamento contendo 3 dormitórios sendo 1 suíte. Armários embutidos nos dormitórios, sala para 2 ambientes com lavabo e sacada, cozinha planejada, ampla área de serviço. Ban...
4500	Rua Nelson Alaite, Mansões Santo Antônio	Linda Cobertura duplex com 110m², no bairro mais charmoso de Campinas, com living para dois ambientes, 2 dormitórios com armários, cozinha planejada, área de serviço, banheiro soci...
1100	Rua Thomas Alva Edison, Jardim Bela Vista	Apartamento residencial para LocaçãoÓtimo apartamento com 02 dormitórios, cozinha com armários, lavanderia separada, banheiro, sacada. Boa Localização , próximo a merca...
1300	Rua Herminio Camargo Souza, Dic V Conjunto Habitacional Chico Mendes	Casa para locação no DIC 5, com 03 dormitórios, sendo 01 suíte, copa muito espaçosa, garagem coberta para 01 carro, armários planejados.SOBRE A IMOBILIÁRIA SIMBRASIL: Foi i...
1400	Chácara Primavera, Campinas	Apartamento bem localizado no Mansões, com 2 dormitórios sendo 1 suíte, sala, cozinha planejada e dois banheiros com 1 vaga de garagem coberta. Agende sua visita com um dos nos...
2000	Jardim São José, Campinas	Salão comercial, contendo sala, recepção, escritório, mezanino aberto e 02 banheiros com pé direito de 06 metros, piso industrial, energia trifásica, portão de entrada com 4,5 m² d...
780	Rua Isolethe Augusta Sousa Aranha, Centro	Excelente apartamento com 1 dormitório sendo suite com armário , sala para 2 ambientes, piso ardosia, cozinha com gabinete, área de serviço e wc empregada,1 vaga de garagem. -
2380	Rua Dona Josefina Sarmento, Cambuí	Apartamento para locação. Prédio novo, localização desejada, próximo à padaria, escolas, comércios, praça, 2 suítes com armários, lavabo, sala para 2 ambientes com sacada, cozinha...
1800	Rua Martinho Calsavara, Swift	Apartamento para locação Perfect LIfe .Localização próximo às faculdades Mandic / Unip.Excelente apartamento, 78 m² sala 2 ambientes, sanca com spots, espelhos e papel de p...
4500	Rua São Salvador, Taquaral	Excelente apartamento com 3 dormitórios sendo todos suítes ricos em armários, ampla sala 2 ambientes e Home Office, varanda gourmet, cozinha toda planejada, área de serviço e despe...
1800	Rua Martinho Calsavara, Swift	Apartamento para Aluguel - Swift, 2 Quartos, 59 - Campinas
1000	Rua Ernesto Khulmann, Centro	Apartamento no centro com 3 dormitórios sendo 1 com suite, sala ampla, cozinha , banheiro, área de serviço, 2 elevadores. -
1490	Vila Andrade Neves, Campinas	Apartamento mobiliado para alugar 2 dormitórios no Bonfim em Campinas na imobiliária CMB Imóveis.Excelente apartamento mobiliado, amplo e moderno, 2 dormitórios com armário...
3200	Rua Santa Cruz, Cambuí	Apartamento inteiramente reformado em localização ímpar, ao lado de supermercado, academia e todas as conveniências. O imóvel inclui três dormitórios, sendo que um deles é suít...
2625	Rua Adelino Martins, Mansões Santo Antônio	Apartamento para Aluguel - Mansões Santo Antônio, 2 Quartos, 69 - Campinas
2600	Rua César dos Santos, Parque Imperador	Casa para Aluguel - Parque Imperador, 3 Quartos, 200 - Campinas
2000	Avenida Maria Emília Alves dos Santos de Ângelis, Parque Prado	Apartamento para Aluguel - Parque Prado, 2 Quartos, 65 - Campinas
1350	Rua Djalma Inácio Furtado, Jardim Antonio Von Zuben	Apartamento para Aluguel - Jardim Antonio Von Zuben, 2 Quartos, 44 - Campinas
2300	Vila Brandina, Campinas	APARTAMENTO PARA LOCAÇÃO EM CAMPINAS/SP.Maravilhoso apartamento para locação em Campinas, na Vila Brandina. Apartamento ao lado do Shopping Iguatemi, Carrefour.Apartame...
1800	Rua Engenheiro Augusto de Figueiredo, Vila Progresso	Excelente apartamento com 02 dormitórios, living para 02 ambientes, cozinha americana planejada, área de serviço, 01 banheiro social, sacada e 01 vaga de garagem, apartamento todo...
3300	Rua Jasmim, Mansões Santo Antônio	Apartamento para Aluguel - Mansões Santo Antônio, 3 Quartos, 87 - Campinas
3500	Rua Alberto Cerqueira Lima, Taquaral	Apartamento no Taquaral, Campinas -SP, com 91m2. 02 suítes, sala estendida, varanda com churrasqueira, móveis planejados, ar condicionado, estrutura completa de lazer, localização...
1700	Mansões Santo Antônio, Campinas	Apartamento para alugar 2 dormitórios no bairro Mansões Santo Antônio em Campinas na imobiliária CMB Imóveis.Excelente apartamento 2 dormitórios sendo 1 suíte com armários...
2800	Rua Herculano Couto, Jardim Chapadão	Casa para Aluguel - Jardim Chapadão, 3 Quartos, 200 - Campinas
25000	Rua Dom Francisco de Campos Barreto, Nova Campinas	Casa residencial e comercial no Nova Campinas em Campinas - SP. Extremamente bem localizada, com perfil para casa de Advogacia, clínicas médicas, casas de repousos entre ou...
2950	Avenida Marechal Rondon, Jardim Chapadão	OPORTUNIDADE de locação espaço comercial mobiliado em andar de uso exclusivo composto por : 01 salão de 40 m² e 01 sala de 12 m² , ambos com ar condicionado, pontos de internet e t...
3150	Rua José Luiz Camargo Moreira, Mansões Santo Antônio	Primeira Locação!Em fase final de personalização.I Home traz para Campinas um conceito de última geração em moradia, é o primeiro apartamento da região com itens de automaç...
1300	Rua Taubaté, Vila Industrial	Alugo casa para fins comerciais e residenciais no bairro da Vila Industrial, contendo 93,00 mts2.Imóvel com 3 dormitórios e sala, com teto de forro de madeira, piso laminado, c...
1800	Rua Doutor Sylvio Carvalhaes, Jardim Campos Elíseos	Oportunidade Condominio FechadoExcelente casa com 3 dormitorios sendo uma suite, banheiro social com armarios, 1 lavabo, living para 2 ambientes, cozinha com armario planej...
1630	Rua Doutor Jeber Juabre, Jardim Márcia	Apartamento para Aluguel - Campos Elíseos, 3 Quartos, 60 - Campinas
3300	Avenida Alaôr Faria de Barros, Loteamento Alphaville Campinas	Apartamento para Aluguel - Lot. Alphaville Campinas, 3 Quartos, 113 - Campinas
1200	Jardim Antonio Von Zuben, Campinas	Apartamento para Aluguel - Jardim Antonio Von Zuben, 2 Quartos, 51 - Campinas
2300	Vila Brandina, Campinas	APARTAMENTO PARA LOCAÇÃO EM CAMPINAS/SP.Maravilhoso apartamento para locação em Campinas, na Vila Brandina. Apartamento ao lado do Shopping Iguatemi, Carrefour.Apartame...
1800	Rua Engenheiro Augusto de Figueiredo, Vila Progresso	Excelente apartamento com 02 dormitórios, living para 02 ambientes, cozinha americana planejada, área de serviço, 01 banheiro social, sacada e 01 vaga de garagem, apartamento todo...
3300	Rua Jasmim, Mansões Santo Antônio	Apartamento para Aluguel - Mansões Santo Antônio, 3 Quartos, 87 - Campinas
2700	Cambuí, Campinas	Venha morar no Cambuí com conforto e praticidade! Apartamento novo, 1° locação. Living para 2 ambientes com lavabo e sacada. Hall de acesso para 3 dormitórios, sendo uma suíte. Ban...
1900	Bosque, Campinas	Casa térrea conservada, residencial ou comercial. Vaga para 4 carros, sala, 3 dormitórios sendo 1 suíte, copa, cozinha, 1 geladeira, edícula com sala, quarto com wc e quintal. -
3110	Rua Saturno, Jardim do Sol	Apartamento para Aluguel - Jardim do Sol, 3 Quartos, 86 - Campinas
1157	Rua Buarque de Macedo, Guanabara	Apartamento para Aluguel - Guanabara, 1 Quarto, 57 - Campinas
2100	Rua Saulo de Carvalho Luz, Jardim Aurélia	Apartamento para Aluguel - Jardim Aurélia, 3 Quartos, 92 - Campinas
4800	Rua Santos Dumont, Cambuí	Apartamento alto padrão em localização privilegiada no Cambuí, com acabamento requintado, ambientes amplos, ar condicionado, varanda. Condomínio com lazer completo, espaço gourmet,...
1380	Rua Doutor Oswaldo Adib Abib, Jardim Antonio Von Zuben	Apartamento para Aluguel - Jardim Antonio Von Zuben, 2 Quartos, 44 - Campinas
2600	Rua Doutor Sampaio Peixoto, Cambuí	Apartamento para locação no Cambuí em Campinas. Localização estratégica no bairro, com fácil acesso as avenidas, escolas e comércios. Andar alto com linda vista, planta diferenciad...
2500	Rua Alberto Cerqueira Lima, Taquaral	Apartamento para locação no Taquaral. Apartamento em excelente estado de conservação contendo 2 dormitórios com planejados sendo 2 suítes , sala, cozinha com planejados, área de se...
1750	Vila Nova, Campinas	Ótima casa Comercial/Residencial com 02 dormitórios com armários planejados na Vila Nova, contendo 01 sala de estar/jantar, cozinha, piso frio e tacos de madeira, lavanderia fechad...
1350	Rua Vitoriano dos Anjos, Ponte Preta	Apartamento para Aluguel - Ponte Preta, 3 Quartos, 59 - Campinas
4000	Rua Ramão Olavo Saravy Filho, Jardim Myrian Moreira da Costa	Belíssima casa para alugar no Condomínio Casa Bella, Campinas. Esse imóvel foi totalmente feito com muito carinho e detalhes em cada acabamento, como podem ver, temos um living amp...
2147	Vila Mimosa, Campinas	Casa para Aluguel - Vila Mimosa, 3 Quartos, 140 - Campinas
